review_group_id,path_a,path_b,label,phash_a,phash_b,phash_distance,equivalent,review_status,notes
near_0001,immature/1.jpg,immature/335.jpg,immature,91950e5d7a727c4a,90950f5d7a7278ca,4,False,pending,
near_0002,immature/1002.jpg,immature/276.jpg,immature,c09d1f7e3a703b30,c09d1f7e3a703b30,0,False,pending,
near_0003,immature/1006.jpg,immature/148.jpg,immature,85c81f0b7afd6825,85c01f0b7aff6825,2,False,pending,
near_0004,immature/1013.jpg,immature/982.jpg,immature,c4b71a5c3e727948,c4971a1c7f727948,4,False,pending,
near_0005,immature/1014.jpg,immature/289.jpg,immature,85424ea33ba179f5,85424ea37ba179b5,2,False,pending,
near_0006,immature/1015.jpg,immature/652.jpg,immature,c0d00f0a7f2b3eb5,c0d00f0a3f2b7e3d,4,False,pending,
near_0007,immature/1020.jpg,immature/203.jpg,immature,d1c74e090b0f2b3f,d1c64e082b0f2f3f,4,False,pending,
near_0008,immature/1025.jpg,immature/592.jpg,immature,d1c00e256e276b3f,d1c00e217e276b3f,2,False,pending,
near_0009,immature/1032.jpg,immature/214.jpg,immature,91ca4f283a3d3a3d,91ca4f283a3d3a3d,0,False,pending,
near_0010,immature/1044.jpg,immature/225.jpg,immature,c0624b253f9b3997,c0e24a273f933997,4,False,pending,
near_0011,immature/105.jpg,immature/447.jpg,immature,c0941e5d7f52786a,c0940e5d7f52787a,2,False,pending,
near_0012,immature/1056.jpg,immature/237.jpg,immature,d1c14a0c0b6f6f3d,d0c15a0c2b6f6f35,4,False,pending,
near_0013,immature/1057.jpg,immature/198.jpg,immature,c0d04f033f2f2e3d,c0d00f033f2b3e3f,4,False,pending,
near_0014,immature/1057.jpg,immature/386.jpg,immature,c0d04f033f2f2e3d,c0c20f033f2f2e3f,4,False,pending,
near_0015,immature/1067.jpg,immature/259.jpg,immature,91ce16635b2d6a2d,91ce16635b2d6a2d,0,False,pending,
near_0016,immature/1078.jpg,immature/33.jpg,immature,d0950f7e3b7a6860,c0950f5e3f7a7860,4,False,pending,
near_0017,immature/1092.jpg,immature/303.jpg,immature,c09f565f5a783a60,c09f465b5b783b60,4,False,pending,
near_0018,immature/1104.jpg,immature/314.jpg,immature,c0b41f013e1f3f5a,c0b41f013e1f3d7a,2,False,pending,
near_0019,immature/1112.jpg,immature/323.jpg,immature,c5bd5a542fc23e42,c53d5a542fc27e42,2,False,pending,
near_0020,immature/1116.jpg,immature/325.jpg,immature,c09f1f7c78503a72,809f1f7c78503af2,2,False,pending,
near_0021,immature/1125.jpg,immature/994.jpg,immature,c0f05f006a2f2f3f,c0f05f006a2f2f3f,0,False,pending,
near_0022,immature/113.jpg,immature/410.jpg,immature,d09d0e7e3f622f80,d09d0e7e3f682f80,2,False,pending,
near_0023,immature/124.jpg,immature/422.jpg,immature,85484a236baf3e37,85484a236baf3e37,0,False,pending,
near_0024,immature/134.jpg,immature/434.jpg,immature,c0b40f5e3f583a5a,c0b40f5e3f583a5a,0,False,pending,
near_0025,immature/136.jpg,immature/591.jpg,immature,c1c02f0d2d2f35b7,c1c02f0f2d2f35b5,2,False,pending,
near_0026,immature/137.jpg,immature/860.jpg,immature,c0c31b2b7daf2c25,c0c31b2b7daf2c25,0,False,pending,
near_0027,immature/138.jpg,immature/884.jpg,immature,d08f5a7f2a6c6838,d0875a7f2a6e6838,2,False,pending,
near_0028,immature/139.jpg,immature/897.jpg,immature,c04e070a4f2b7f6d,c04e170a4f2b7f2d,2,False,pending,
near_0029,immature/14.jpg,immature/349.jpg,immature,c0cb070b7c2f613f,c0cb170b7c2f213f,2,False,pending,
near_0030,immature/140.jpg,immature/910.jpg,immature,81c21a2b7f2d7a39,85c21aab7f2d7a30,4,False,pending,
near_0031,immature/142.jpg,immature/703.jpg,immature,c1b517d53f727820,c0b517d53f787a20,4,False,pending,
near_0032,immature/149.jpg,immature/460.jpg,immature,c1934e132e6b2d6d,c1934e132e6b2e6d,2,False,pending,
near_0033,immature/15.jpg,immature/584.jpg,immature,c4c20f2b2f257d27,c0c20f2b7f257c27,4,False,pending,
near_0034,immature/150.jpg,immature/469.jpg,immature,95605a8b6b0d695f,95605a8b6a8f691f,4,False,pending,
near_0035,immature/151.jpg,immature/482.jpg,immature,c1170f5e3ff868a0,c1170f5e3ff868a0,0,False,pending,
near_0036,immature/152.jpg,immature/494.jpg,immature,c0d017323eb73a37,c0d017323eb73a37,0,False,pending,
near_0037,immature/153.jpg,immature/714.jpg,immature,90a947557e5a3b2a,90a947157e5a3b6a,2,False,pending,
near_0038,immature/154.jpg,immature/506.jpg,immature,c06b03036f876d9f,c06b03036f876d9f,0,False,pending,
near_0039,immature/155.jpg,immature/518.jpg,immature,953b5ee47ab438c0,953b5ee47ab438c0,0,False,pending,
near_0040,immature/156.jpg,immature/531.jpg,immature,c0850f577eba7c48,c0850f577eba7a48,2,False,pending,
near_0041,immature/157.jpg,immature/543.jpg,immature,c01d1e7e6ef82992,c01d1e7e4ef82b92,2,False,pending,
near_0042,immature/158.jpg,immature/652.jpg,immature,c0c10f0a3f2f7e2d,c0d00f0a3f2b7e3d,4,False,pending,
near_0043,immature/158.jpg,immature/654.jpg,immature,c0c10f0a3f2f7e2d,c0c0074a3f2f7f2d,4,False,pending,
near_0044,immature/160.jpg,immature/555.jpg,immature,c0ca1e0a4b3f0cff,c0ca1e0a4b2f4cff,2,False,pending,
near_0045,immature/162.jpg,immature/567.jpg,immature,80361ff35e487b52,c0161ff35e483bd2,4,False,pending,
near_0046,immature/164.jpg,immature/616.jpg,immature,d0c21b8b7ea7781c,d0c2138b7ea7781d,2,False,pending,
near_0047,immature/165.jpg,immature/736.jpg,immature,c59d1a764b787a60,c58d1a764f7a7a40,4,False,pending,
near_0048,immature/167.jpg,immature/628.jpg,immature,c06817897f8f3c8d,c06817897f8f3c8d,0,False,pending,
near_0049,immature/168.jpg,immature/676.jpg,immature,c0520f6b3ee57a85,c0520f6b3ee57a85,0,False,pending,
near_0050,immature/171.jpg,immature/689.jpg,immature,85154ff47ce27a41,85154ff47ce27a41,0,False,pending,
near_0051,immature/172.jpg,immature/701.jpg,immature,90371ff51ad27a12,90371ff51ad26a52,2,False,pending,
near_0052,immature/176.jpg,immature/749.jpg,immature,c10e155f1e7a2f98,c10e155f1e7a2f98,0,False,pending,
near_0053,immature/177.jpg,immature/747.jpg,immature,85d15a6a2f852d3d,85d14a6a2f852f3d,2,False,pending,
near_0054,immature/178.jpg,immature/761.jpg,immature,d43c4bc86ac22fb9,d43c4bc86ac22fb9,0,False,pending,
near_0055,immature/186.jpg,immature/803.jpg,immature,c0b51f767e4238ca,80b51f767e5238ca,2,False,pending,
near_0056,immature/198.jpg,immature/386.jpg,immature,c0d00f033f2b3e3f,c0c20f033f2f2e3f,4,False,pending,
near_0057,immature/198.jpg,immature/652.jpg,immature,c0d00f033f2b3e3f,c0d00f0a3f2b7e3d,4,False,pending,
near_0058,immature/204.jpg,immature/891.jpg,immature,c14a072d1f0b6d77,c14a07291f0b6f77,2,False,pending,
near_0059,immature/21.jpg,immature/359.jpg,immature,c0951b774f583e70,c0851b774f5c3e70,2,False,pending,
near_0060,immature/227.jpg,immature/958.jpg,immature,85b75a762b5a68c8,85b75a762b5a68c8,0,False,pending,
near_0061,immature/240.jpg,immature/969.jpg,immature,90351ffc79d22a52,90351ff679d22a52,2,False,pending,
near_0062,immature/25.jpg,immature/636.jpg,immature,d09917b43e317a72,909117b47f317a72,4,False,pending,
near_0063,immature/252.jpg,immature/980.jpg,immature,85944e595a6e3b6a,85944e595a6e3b6a,0,False,pending,
near_0064,immature/264.jpg,immature/991.jpg,immature,90b71e5e3f703870,90b51f5e3f703870,2,False,pending,
near_0065,immature/33.jpg,immature/370.jpg,immature,c0950f5e3f7a7860,c0950f5f3f6a7860,2,False,pending,
near_0066,immature/336.jpg,immature/8.jpg,immature,d08d4e771b7a29b0,d08d4e770b7a2db0,2,False,pending,
near_0067,immature/347.jpg,immature/481.jpg,immature,c5d21f013a2f693d,c5d21f013a2f6d2d,2,False,pending,
near_0068,immature/361.jpg,immature/47.jpg,immature,851e1fb56a587ad0,c51e0fb56b487ad0,4,False,pending,
near_0069,immature/373.jpg,immature/58.jpg,immature,c45b1bea2fa06e25,c45b1fe83fa06a25,4,False,pending,
near_0070,immature/414.jpg,immature/547.jpg,immature,94b45a742f726ae2,94b45a542f7a6ae2,2,False,pending,
near_0071,immature/425.jpg,immature/70.jpg,immature,85b15e5d7a586e28,85b15e557a587e28,2,False,pending,
near_0072,immature/436.jpg,immature/93.jpg,immature,81b55b5e79722c58,80b55b5e7b722c58,2,False,pending,
near_0073,immature/458.jpg,immature/922.jpg,immature,c4d84b2b0b2d3f65,c4d84b2b0b2d3f65,0,False,pending,
near_0074,immature/536.jpg,immature/558.jpg,immature,c09113925f5f6f4a,c09513925f5f6e2a,4,False,pending,
near_0075,immature/569.jpg,immature/957.jpg,immature,c04b0f2f5fa43e34,c04a0f2f7fa43e34,2,False,pending,
near_0076,immature/570.jpg,immature/780.jpg,immature,c0604bab2fa53d97,c1604bab6fa52d95,4,False,pending,
near_0077,immature/581.jpg,immature/903.jpg,immature,c13416d17bd27ea2,c13416d17bd27ea2,0,False,pending,
near_0078,immature/635.jpg,immature/945.jpg,immature,c0c91f0a7e2d783d,c0c11faa7e2d7835,4,False,pending,
near_0079,immature/680.jpg,immature/934.jpg,immature,c0851b577e7a3a38,c0851b577e7a3a38,0,False,pending,
near_0080,intact/1018.jpg,intact/108.jpg,intact,c09f1b787b786a60,c09f1a7e7a786a60,4,False,pending,
near_0081,intact/1037.jpg,intact/1044.jpg,intact,c0c01f0b7e2f7a2d,c0c00f0a7f2f7e2d,4,False,pending,
near_0082,intact/1037.jpg,intact/819.jpg,intact,c0c01f0b7e2f7a2d,c0c00f0a7f2f7e2d,4,False,pending,
near_0083,intact/1044.jpg,intact/776.jpg,intact,c0c00f0a7f2f7e2d,c0c01f0b7e2f7a2d,4,False,pending,
near_0084,intact/1079.jpg,intact/453.jpg,intact,91951e7e7a782a68,919f1e7e7a502a68,4,False,pending,
near_0085,intact/1142.jpg,intact/453.jpg,intact,91951e7e7a782a68,919f1e7e7a502a68,4,False,pending,
near_0086,intact/1157.jpg,intact/342.jpg,intact,c5054edf3af03bc0,c5054edf3af03bc0,0,False,pending,
near_0087,intact/1166.jpg,intact/344.jpg,intact,91f81e807a737a71,91f81e807a737a71,0,False,pending,
near_0088,intact/1168.jpg,intact/204.jpg,intact,d5ca4a213a0d2f9f,d5ca42a13a0d2fd7,4,False,pending,
near_0089,intact/1174.jpg,intact/345.jpg,intact,d09f17741bf22ec0,d09f17741bf22ec0,0,False,pending,
near_0090,intact/1182.jpg,intact/347.jpg,intact,c0854b745f7a6f60,c0854b745f7a6f60,0,False,pending,
near_0091,intact/1191.jpg,intact/348.jpg,intact,81955f577e523a42,81955b577e523a4a,2,False,pending,
near_0092,intact/1199.jpg,intact/349.jpg,intact,95421a2b2fad3b1d,95421a2b2fad3b1d,0,False,pending,
near_0093,intact/167.jpg,intact/554.jpg,intact,c4b50ed43fd22ec2,c0b50fd47fd22e42,4,False,pending,
near_0094,intact/167.jpg,intact/849.jpg,intact,c4b50ed43fd22ec2,c0b50fd47fd22e42,4,False,pending,
near_0095,intact/175.jpg,intact/406.jpg,intact,c0c20f0b3f2d3b3d,c0c80f0b2f2d3f3d,4,False,pending,
near_0096,intact/175.jpg,intact/570.jpg,intact,c0c20f0b3f2d3b3d,c0c80f0b2f2d3f3d,4,False,pending,
near_0097,intact/187.jpg,intact/331.jpg,intact,d59f0a7e2af82960,c19f4a7e2af82d60,4,False,pending,
near_0098,intact/224.jpg,intact/571.jpg,intact,c5c81f0b7a2d6a2d,85d81f2b7a2d682d,4,False,pending,
near_0099,intact/224.jpg,intact/666.jpg,intact,c5c81f0b7a2d6a2d,85ca1f097a2f6a2d,4,False,pending,
near_0100,intact/224.jpg,intact/966.jpg,intact,c5c81f0b7a2d6a2d,85ca1f097a2f6a2d,4,False,pending,
near_0101,intact/254.jpg,intact/635.jpg,intact,c0c01f037b0f7b1f,c1c01f837a0f3b1f,4,False,pending,
near_0102,intact/254.jpg,intact/930.jpg,intact,c0c01f037b0f7b1f,c1c01f837a0f3b1f,4,False,pending,
near_0103,intact/263.jpg,intact/681.jpg,intact,c1ca4a2b2f2d6f34,c1ca0a2b2f2d6f35,2,False,pending,
near_0104,intact/263.jpg,intact/984.jpg,intact,c1ca4a2b2f2d6f34,c1ca0a2b2f2d6f35,2,False,pending,
near_0105,intact/341.jpg,intact/553.jpg,intact,c09e1f3e6f782a60,c09d0f7e6f782a60,4,False,pending,
near_0106,intact/341.jpg,intact/848.jpg,intact,c09e1f3e6f782a60,c09d0f7e6f782a60,4,False,pending,
near_0107,intact/406.jpg,intact/446.jpg,intact,c0c80f0b2f2d3f3d,c1ca0f0b2f2d3e2d,4,False,pending,
near_0108,intact/406.jpg,intact/745.jpg,intact,c0c80f0b2f2d3f3d,c1ca0f0b2f2d3e2d,4,False,pending,
near_0109,intact/406.jpg,intact/887.jpg,intact,c0c80f0b2f2d3f3d,c0c20f0b3f2d3b3d,4,False,pending,
near_0110,intact/446.jpg,intact/570.jpg,intact,c1ca0f0b2f2d3e2d,c0c80f0b2f2d3f3d,4,False,pending,
near_0111,intact/570.jpg,intact/745.jpg,intact,c0c80f0b2f2d3f3d,c1ca0f0b2f2d3e2d,4,False,pending,
near_0112,intact/570.jpg,intact/887.jpg,intact,c0c80f0b2f2d3f3d,c0c20f0b3f2d3b3d,4,False,pending,
near_0113,intact/776.jpg,intact/819.jpg,intact,c0c01f0b7e2f7a2d,c0c00f0a7f2f7e2d,4,False,pending,
near_0114,skin_damaged/170.jpg,skin_damaged/459.jpg,skin_damaged,c1975b5c0a7a6b68,c0971b5c0e7a6b6a,4,False,pending,
near_0115,skin_damaged/300.jpg,skin_damaged/689.jpg,skin_damaged,c1c01b0b7b8f3c8f,c1c01b0b3f8f3c8f,2,False,pending,
near_0116,skin_damaged/303.jpg,skin_damaged/694.jpg,skin_damaged,c4cc0fab2bb16e31,c4cc0fab2bb16e31,0,False,pending,
near_0117,skin_damaged/304.jpg,skin_damaged/695.jpg,skin_damaged,d1084b3f2ef83fc0,d5084b3f2ef82fc0,2,False,pending,
near_0118,skin_damaged/306.jpg,skin_damaged/699.jpg,skin_damaged,c0870b7e3fe03e92,c087037e3fe07e92,2,False,pending,
near_0119,skin_damaged/310.jpg,skin_damaged/700.jpg,skin_damaged,c00d1f7e3b106bf8,c0051f7e3f102bfa,4,False,pending,
near_0120,skin_damaged/311.jpg,skin_damaged/703.jpg,skin_damaged,c0b217971f133bd8,c0b217971f133bd8,0,False,pending,
near_0121,skin_damaged/312.jpg,skin_damaged/704.jpg,skin_damaged,c1e01e032a9f6f2f,c0e01e132a9f6f2f,2,False,pending,
near_0122,spotted/553.jpg,spotted/844.jpg,spotted,c12d0ed62f4a6d6a,c52d1e962f4a6d4a,4,False,pending,
near_0123,spotted/632.jpg,spotted/723.jpg,spotted,c0951f423f6a7a5a,c0951f523f6a7a68,4,False,pending,
